"sku","name","miniblog"
"14BRS-EdgePub","練習簿- 一年級四冊組   ","<p style=""text-align: center;""><span style=""font-size: medium;"">♥剛收到Edgeucation Publishing的練習本時，感覺很親切，</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">和小時候在美國用的課本一樣，很生動有趣！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny04.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥我先看了數學練習本的簡介，是PK（=pre-kindergarten幼稚園之前）的，這Smart Alec系列是從PK到五年級。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">裡面對作者與編輯的資料也寫的很清楚，都是得獎的老師！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny02.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥ 雖然只是練習本，裡面每一業都是彩色印刷的，可愛的圖案，活潑的內容，每一頁都是美式的＂邊玩邊學＂！</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">課本的最後面還附答案！最後一頁還是完成練習本的獎狀！好貼心！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny06.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><br>
<span style=""font-size: medium;"">我還很欣賞的是用環保無毒的大豆油墨印製的，不用擔心小孩接觸到有毒成份的印刷。♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny09.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><br>
</p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥PK的數學練習本是由寫數學開始教，格子很大，太適合拿筆很野獸派的米利。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">裡面每一題都好有趣，有數鉛筆、扣子、彈珠、連連看，或是多與少的比較。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">內容好多元化，孩子不知不覺的就有數字的概念～哇！真的不是死記！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny01.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥米利開心的寫了好幾頁，第二天還期待可以一起寫！</span><span style=""font-size: medium;"">英文練習本，雖然只是學ABC，但一樣非常的生動。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium; line-height: 1.5em;"">作者鼓勵爸媽要＂Make it fun"" 可以一天專注在一個字母上，</span></p>




<p style=""text-align: center;""><span style=""font-size: medium; line-height: 1.5em;"">一整天都圍繞在那個字母，</span><span style=""font-size: medium; line-height: 1.5em;"">不斷的與生活連結與連想。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium; line-height: 1.5em;"">這和我們一般希望孩子盡量多背幾個數字的概念完全不同。</span><span style=""font-size: medium; line-height: 1.5em;"">♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny03.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><span><br>
</span></span></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><span>♥</span>學會了26個字母後，課本又出現了連連看等生動的文字遊戲，</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">最後當然也是獎狀一張～小孩應該會越來越有自信吧！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny07.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥還有一本寫字練習本也很貼心，每一頁都有特殊處理。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">可以用白板筆寫，寫完可以再用濕布擦掉，不浪費又環保！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny05.jpg"" style=""cursor: default;""></p>"
"K4BRS-EdgePub","練習簿 - 幼稚園四冊組    ","<p style=""text-align: center;""><span style=""font-size: medium;"">♥剛收到Edgeucation Publishing的練習本時，感覺很親切，</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">和小時候在美國用的課本一樣，很生動有趣！♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny04.jpg"" style=""cursor: default;""></p>

<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">♥我先看了數學練習本的簡介，是PK（=pre-kindergarten幼稚園之前）的，這Smart Alec系列是從PK到五年級。</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">裡面對作者與編輯的資料也寫的很清楚，都是得獎的老師！♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny02.jpg"" style=""cursor: default;""></p>

<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">♥ 雖然只是練習本，裡面每一業都是彩色印刷的，可愛的圖案，活潑的內容，每一頁都是美式的＂邊玩邊學＂！</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">課本的最後面還附答案！最後一頁還是完成練習本的獎狀！好貼心！♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny06.jpg"" style=""cursor: default;""></p>

<p style=""text-align: center;""><br>
<span style=""font-size: medium;"">我還很欣賞的是用環保無毒的大豆油墨印製的，不用擔心小孩接觸到有毒成份的印刷。♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny09.jpg"" style=""cursor: default;""></p>

<p style=""text-align: center;""><br>
</p>

<p style=""text-align: center;""><span style=""font-size: medium;"">♥PK的數學練習本是由寫數學開始教，格子很大，太適合拿筆很野獸派的米利。</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">裡面每一題都好有趣，有數鉛筆、扣子、彈珠、連連看，或是多與少的比較。</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">內容好多元化，孩子不知不覺的就有數字的概念～哇！真的不是死記！♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny01.jpg"" style=""cursor: default;""></p>

<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">♥米利開心的寫了好幾頁，第二天還期待可以一起寫！</span><span style=""font-size: medium;"">英文練習本，雖然只是學ABC，但一樣非常的生動。</span></p>

<p style=""text-align: center;""><span style=""font-size: medium; line-height: 1.5em;"">作者鼓勵爸媽要＂Make it fun"" 可以一天專注在一個字母上，</span></p>

<p style=""text-align: center;""><span style=""font-size: medium; line-height: 1.5em;"">一整天都圍繞在那個字母，</span><span style=""font-size: medium; line-height: 1.5em;"">不斷的與生活連結與連想。</span></p>

<p style=""text-align: center;""><span style=""font-size: medium; line-height: 1.5em;"">這和我們一般希望孩子盡量多背幾個數字的概念完全不同。</span><span style=""font-size: medium; line-height: 1.5em;"">♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny03.jpg"" style=""cursor: default;""></p>

<p style=""text-align: center;""><span style=""font-size: medium;""><span><br>
</span></span></p>

<p style=""text-align: center;""><span style=""font-size: medium;""><span>♥</span>學會了26個字母後，課本又出現了連連看等生動的文字遊戲，</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">最後當然也是獎狀一張～小孩應該會越來越有自信吧！♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny07.jpg"" style=""cursor: default;""></p>

<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">♥還有一本寫字練習本也很貼心，每一頁都有特殊處理。</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">可以用白板筆寫，寫完可以再用濕布擦掉，不浪費又環保！♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny05.jpg"" style=""cursor: default;""></p>"
"BOKOL06-SM00-RB","小猴子連身包屁衣-橄欖綠-6-12月",""
"P4BRS-EdgePub","練習簿 - 學齡前四冊組","<p style=""text-align: center;""><span style=""font-size: medium;"">♥剛收到Edgeucation Publishing的練習本時，感覺很親切，</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">和小時候在美國用的課本一樣，很生動有趣！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny04.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥我先看了數學練習本的簡介，是PK（=pre-kindergarten幼稚園之前）的，這Smart Alec系列是從PK到五年級。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">裡面對作者與編輯的資料也寫的很清楚，都是得獎的老師！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny02.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥ 雖然只是練習本，裡面每一業都是彩色印刷的，可愛的圖案，活潑的內容，每一頁都是美式的＂邊玩邊學＂！</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">課本的最後面還附答案！最後一頁還是完成練習本的獎狀！好貼心！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny06.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><br>
<span style=""font-size: medium;"">我還很欣賞的是用環保無毒的大豆油墨印製的，不用擔心小孩接觸到有毒成份的印刷。♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny09.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><br>
</p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥PK的數學練習本是由寫數學開始教，格子很大，太適合拿筆很野獸派的米利。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">裡面每一題都好有趣，有數鉛筆、扣子、彈珠、連連看，或是多與少的比較。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">內容好多元化，孩子不知不覺的就有數字的概念～哇！真的不是死記！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny01.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥米利開心的寫了好幾頁，第二天還期待可以一起寫！</span><span style=""font-size: medium;"">英文練習本，雖然只是學ABC，但一樣非常的生動。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium; line-height: 1.5em;"">作者鼓勵爸媽要＂Make it fun"" 可以一天專注在一個字母上，</span></p>




<p style=""text-align: center;""><span style=""font-size: medium; line-height: 1.5em;"">一整天都圍繞在那個字母，</span><span style=""font-size: medium; line-height: 1.5em;"">不斷的與生活連結與連想。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium; line-height: 1.5em;"">這和我們一般希望孩子盡量多背幾個數字的概念完全不同。</span><span style=""font-size: medium; line-height: 1.5em;"">♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny03.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><span><br>
</span></span></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><span>♥</span>學會了26個字母後，課本又出現了連連看等生動的文字遊戲，</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">最後當然也是獎狀一張～小孩應該會越來越有自信吧！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny07.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥還有一本寫字練習本也很貼心，每一頁都有特殊處理。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">可以用白板筆寫，寫完可以再用濕布擦掉，不浪費又環保！♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/Jenny05.jpg"" style=""cursor: default;""></p>"
"BOKOL00-SM00-RB","小猴子連身包屁衣-橄欖綠-0-3月",""
"BOKOL03-SM00-RB","小猴子連身包屁衣-橄欖綠-3-6月",""
"SPKFU06-FUO0-RB","超柔!可愛荷葉屁屁彈性長褲(6-12月)",""
"BCKBR03-MOMO-RB","""媽咪的小怪物’’鬆緊帶純棉長褲-棕-3-6月",""
"BCKBR06-MOMO-RB","""媽咪的小怪物’’鬆緊帶純棉長褲-棕-6-12月",""
"ONMPI12-USLS-RB","百搭!粉紅荷葉袖-連身包屁衣-18-24月",""
"ONKTE12-TES0-RB","超吸睛!荷葉緞飾連身屁屁衣-藍綠-12-18月",""
"ONKTE18-TES0-RB","超吸睛!荷葉緞飾連身屁屁衣-藍綠-18-24月",""
"ONKTE06-TES0-RB","超吸睛!荷葉緞飾連身屁屁衣-藍綠-6-12月",""
"ONKTE00-TES0-RB","超吸睛!荷葉緞飾連身屁屁衣-藍綠-0-3月",""
"ONKTE03-TES0-RB","超吸睛!荷葉緞飾連身屁屁衣-藍綠-3-6月",""
"GTWCH3T-RF00-RB","悠閒假日卡其小短褲-3-4歲",""
"GTWCH2T-RF00-RB","悠閒假日卡其小短褲-2-3歲",""
"GTWCH18-RF00-RB","悠閒假日卡其小短褲-18-24月",""
"GTWCH12-RF00-RB","悠閒假日卡其小短褲-12-18月",""
"EDLD3T-EROSE","繽紛夏日-可調式肩帶無袖小洋裝 3-4歲",""
"EDLD2T-EROSE","繽紛夏日-可調式肩帶無袖小洋裝 2-3歲",""
"EDLD6-12M-EROSE","繽紛夏日-可調式肩帶無袖小洋裝 6-12mos",""
"MDO3T-EROSE","時尚拼接無袖連身裙(亮麗橙) 3-4歲",""
"MDO2T-EROSE","時尚拼接無袖連身裙(亮麗橙) 2-3歲",""
"MDO18M-EROSE","時尚拼接無袖連身裙(亮麗橙) 12-18個月",""
"KTG3T-EROSE","夏威夷風情長版上衣(閃耀金) 3-4歲",""
"KTG2T-EROSE","夏威夷風情長版上衣(閃耀金) 2-3歲",""
"KTG18M-EROSE","夏威夷風情長版上衣(閃耀金) 12-18個月",""
"KTO2T-EROSE","夏威夷風情長版上衣(亮麗橙) 2-3歲",""
"KTO3T-EROSE","夏威夷風情長版上衣(亮麗橙) 3-4歲",""
"KTO18M-EROSE","夏威夷風情長版上衣(亮麗橙) 12-18個月",""
"CDO2T-EROSE","花漾連身裙(亮麗橙) 2-3歲",""
"CDO18M-EROSE","花漾連身裙(亮麗橙) 12-18個月",""
"CDP18M-EROSE","花漾連身裙(神秘紫) 12-18個月",""
"PDO6-12M-EROSE","浪漫海洋綁帶小洋裝 6-12個月",""
"RDM3T-EROSE","璀璨無袖連身裙 3T",""
"RDM2T-EROSE","璀璨無袖連身裙 2T",""
